product_id,concern,label,sources,category
3541,redness,1,ingredient,facial moisturizer treatment
8904,wrinkle,0,,facial cleanser
15304,moisture,1,ingredient,around eye cream
5184,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
14254,redness,0,,mask
14035,wrinkle,1,category:serums essences,serums essences
13913,wrinkle,0,,facial cleanser
15386,age,0,,mask
3510,acne,1,category:mask,mask
9514,age,0,,mask
16527,acne,0,,serums essences
7455,acne,1,category:facial cleanser|ingredient,facial cleanser
8558,oiliness,1,category:facial cleanser,facial cleanser
1799,moisture,1,ingredient,facial cleanser
6874,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
12666,eyebag,0,,serums essences
4799,redness,1,category:toners astringents|ingredient,toners astringents
6894,eyebag,0,,mask
12594,acne,0,,facial moisturizer treatment
4160,acne,0,,anti aging
4398,age,1,category:serums essences,serums essences
15584,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
1693,wrinkle,0,,mask
8561,acne,1,category:mask,mask
3978,acne,0,,serums essences
15019,acne,1,category:mask,mask
2803,moisture,0,,facial cleanser
15141,moisture,1,ingredient,around eye cream
5018,redness,0,,mask
6317,eyebag,0,,facial cleanser
5317,wrinkle,0,,mask
9789,redness,1,ingredient,facial moisturizer treatment
2279,redness,1,category:facial cleanser,facial cleanser
10398,age,0,,mask
401,redness,0,,facial moisturizer treatment
403,redness,0,,mask
19,age,0,,facial cleanser
8163,redness,0,,serums essences
13876,age,1,category:facial moisturizer treatment,facial moisturizer treatment
12906,acne,1,category:mask,mask
7138,acne,0,,facial moisturizer treatment
16448,wrinkle,0,,mask
12772,age,0,,mask
2159,age,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
14040,age,1,category:facial moisturizer treatment,facial moisturizer treatment
419,oiliness,0,,makeup remover
1868,moisture,0,,facial cleanser
6408,wrinkle,1,category:serums essences,serums essences
12120,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
3848,redness,0,,mask
11516,acne,1,category:facial cleanser,facial cleanser
1213,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
15380,moisture,1,category:serums essences|ingredient,serums essences
11647,eyebag,1,category:around eye cream,around eye cream
8668,eyebag,0,,toners astringents
10500,age,1,category:serums essences,serums essences
3381,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
15080,acne,1,category:mask,mask
6916,wrinkle,1,category:around eye cream,around eye cream
5027,eyebag,0,,serums essences
10803,age,0,,mask
1333,eyebag,0,,facial moisturizer treatment
4997,acne,1,category:facial cleanser,facial cleanser
10767,moisture,1,ingredient,anti aging
3128,age,1,category:facial moisturizer treatment,facial moisturizer treatment
2139,redness,1,category:makeup remover,makeup remover
314,moisture,1,category:mask|ingredient,mask
4562,oiliness,0,,serums essences
5236,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
14109,eyebag,0,,facial cleanser
4809,redness,0,,facial moisturizer treatment
257,age,0,,toners astringents
3882,redness,0,,facial moisturizer treatment
6839,eyebag,0,,serums essences
11834,age,0,,facial cleanser
6055,eyebag,0,,anti aging
6765,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
13818,age,0,,around eye cream
13396,wrinkle,0,,makeup remover
11317,age,1,category:facial moisturizer treatment,facial moisturizer treatment
5370,redness,0,,serums essences
6841,acne,0,,facial moisturizer treatment
9416,redness,0,,mask
8971,eyebag,0,,makeup remover
6200,wrinkle,0,,toners astringents
5627,wrinkle,0,,toners astringents
8882,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
16464,age,1,category:facial moisturizer treatment,facial moisturizer treatment
4559,eyebag,0,,facial cleanser
607,acne,1,category:mask,mask
2570,wrinkle,1,category:serums essences,serums essences
4095,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
16048,acne,1,category:mask,mask
8332,moisture,1,ingredient,around eye cream
9692,redness,1,ingredient,serums essences
10582,wrinkle,0,,mask
7962,age,0,,toners astringents
12119,eyebag,1,category:around eye cream|ingredient,around eye cream
80,eyebag,0,,serums essences
6955,age,0,,mask
13978,age,0,,mask
3189,acne,1,category:facial cleanser,facial cleanser
15274,wrinkle,0,,mask
16186,eyebag,0,,mask
12149,acne,0,,serums essences
13829,age,1,category:facial moisturizer treatment,facial moisturizer treatment
1946,wrinkle,1,category:serums essences,serums essences
8365,eyebag,0,,serums essences
15407,oiliness,0,,makeup remover
1657,oiliness,0,,serums essences
462,age,0,,facial cleanser
9644,eyebag,0,,mask
8535,acne,0,,around eye cream
15866,wrinkle,0,,mask
16065,oiliness,0,,serums essences
6632,oiliness,1,category:mask,mask
9624,oiliness,1,category:mask,mask
3360,age,0,,mask
10950,redness,0,,serums essences
11258,moisture,0,,toners astringents
12041,acne,0,,serums essences
7554,redness,0,,mask
5400,moisture,1,ingredient,around eye cream
2226,wrinkle,0,,facial cleanser
10481,eyebag,0,,serums essences
5754,eyebag,0,,mask
5252,wrinkle,0,,makeup remover
709,eyebag,0,,serums essences
7722,redness,1,category:makeup remover,makeup remover
8390,redness,0,,facial moisturizer treatment
6579,acne,0,,anti aging
7626,eyebag,1,category:around eye cream,around eye cream
6166,redness,1,category:facial cleanser,facial cleanser
13153,acne,0,,serums essences
4905,eyebag,0,,serums essences
105,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
4559,moisture,1,ingredient,facial cleanser
7053,wrinkle,1,category:serums essences,serums essences
15723,oiliness,1,category:mask,mask
8433,redness,1,category:toners astringents,toners astringents
14083,moisture,1,ingredient,around eye cream
1706,eyebag,0,,toners astringents
3884,age,0,,makeup remover
15597,acne,0,,facial moisturizer treatment
11498,oiliness,1,category:facial cleanser,facial cleanser
14016,eyebag,0,,facial cleanser
14886,moisture,0,,toners astringents
5888,oiliness,1,category:facial cleanser,facial cleanser
14720,acne,1,category:toners astringents|ingredient,toners astringents
610,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
2527,wrinkle,1,category:anti aging,anti aging
1671,redness,1,category:facial cleanser|ingredient,facial cleanser
4640,eyebag,0,,facial cleanser
16068,age,1,category:facial moisturizer treatment,facial moisturizer treatment
9918,moisture,1,category:serums essences|ingredient,serums essences
5448,oiliness,1,category:mask,mask
5042,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
7894,moisture,0,category_negative:oil controller|ingredient,oil controller
3178,redness,1,ingredient,cc cream
4361,redness,1,category:facial cleanser,facial cleanser
12116,oiliness,0,,serums essences
14140,eyebag,0,,serums essences
8572,redness,0,,facial moisturizer treatment
8798,wrinkle,0,,toners astringents
8614,eyebag,0,,facial cleanser
15979,eyebag,0,,makeup remover
11416,redness,0,,mask
15672,oiliness,1,category:facial cleanser,facial cleanser
536,eyebag,0,,anti aging
2980,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
5959,age,0,,mask
5276,moisture,1,category:mask|ingredient,mask
9447,age,0,,mask
15688,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
4914,wrinkle,1,category:serums essences,serums essences
13607,eyebag,0,,facial moisturizer treatment
9527,eyebag,0,,mask
15100,moisture,1,ingredient,facial cleanser
2309,acne,0,,facial moisturizer treatment
16036,age,1,category:facial moisturizer treatment,facial moisturizer treatment
2389,eyebag,0,,facial cleanser
283,age,0,,mask
7448,acne,0,,cc cream
10570,oiliness,0,,makeup remover
7670,age,0,,mask
8084,age,1,category:serums essences,serums essences
11290,redness,0,,pore strips
12260,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
13696,age,0,,around eye cream
4553,wrinkle,1,category:anti aging,anti aging
5033,redness,0,,mask
5166,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
9756,redness,0,,mask
708,oiliness,1,category:mask,mask
12536,oiliness,1,category:mask,mask
228,wrinkle,1,category:serums essences,serums essences
7927,moisture,1,ingredient,facial cleanser
1837,eyebag,0,,facial cleanser
15675,redness,1,category:around eye cream,around eye cream
15470,age,1,category:facial moisturizer treatment,facial moisturizer treatment
13594,acne,0,,serums essences
6884,redness,0,,serums essences
13973,eyebag,0,,facial moisturizer treatment
10024,moisture,1,category:mask|ingredient,mask
10809,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
11442,acne,1,category:mask,mask
6700,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
194,wrinkle,0,,mask
2354,age,0,,facial cleanser
3026,eyebag,0,,serums essences
10057,age,1,category:serums essences,serums essences
9286,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
14798,redness,0,,facial moisturizer treatment
4968,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
6233,acne,0,,serums essences
9275,age,0,,facial cleanser
11551,redness,0,,facial moisturizer treatment
12341,acne,0,,serums essences
7736,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
10853,redness,0,,serums essences
11033,eyebag,0,,mask
2828,redness,1,category:toners astringents,toners astringents
1895,wrinkle,0,,facial cleanser
13881,moisture,1,ingredient,facial cleanser
10001,acne,1,category:facial cleanser,facial cleanser
8710,moisture,1,ingredient,facial cleanser
10315,acne,0,,serums essences
12557,eyebag,0,,facial moisturizer treatment
4944,redness,1,ingredient,facial moisturizer treatment
13468,eyebag,0,,serums essences
9911,wrinkle,1,category:serums essences,serums essences
16058,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
6704,acne,0,,makeup remover
8319,acne,0,,serums essences
8866,oiliness,0,,makeup remover
8004,acne,1,category:mask,mask
5495,wrinkle,0,,toners astringents
12016,acne,1,category:facial cleanser,facial cleanser
13356,oiliness,1,category:facial cleanser,facial cleanser
1919,eyebag,0,,mask
10068,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
11267,acne,1,category:facial cleanser,facial cleanser
3173,age,1,category:facial moisturizer treatment,facial moisturizer treatment
1393,redness,0,,mask
1451,moisture,1,ingredient,facial cleanser
14437,eyebag,0,,bb cream
14384,eyebag,1,category:around eye cream,around eye cream
11755,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
1515,redness,1,ingredient,facial moisturizer treatment
10291,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
12966,redness,1,category:toners astringents,toners astringents
6944,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
10949,moisture,1,ingredient,bb cream
104,eyebag,0,,toners astringents
12553,moisture,1,category:mask,mask
8790,wrinkle,1,category:around eye cream,around eye cream
14652,acne,0,,around eye cream
13624,eyebag,1,category:around eye cream,around eye cream
11721,acne,0,,makeup remover
14390,eyebag,1,category:around eye cream|ingredient,around eye cream
4230,wrinkle,0,,mask
8828,wrinkle,0,,makeup remover
15640,acne,0,,facial moisturizer treatment
15891,redness,1,category:facial cleanser,facial cleanser
8162,redness,1,category:facial cleanser,facial cleanser
12512,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
12911,eyebag,0,,toners astringents
1936,age,1,category:facial moisturizer treatment,facial moisturizer treatment
6071,acne,1,category:facial cleanser,facial cleanser
8609,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
16486,eyebag,0,,facial cleanser
8488,age,1,category:facial moisturizer treatment,facial moisturizer treatment
14317,acne,0,,anti aging
9382,eyebag,0,,mask
10592,acne,0,,around eye cream
12901,moisture,1,ingredient,facial cleanser
3521,wrinkle,1,category:serums essences|ingredient,serums essences
2688,oiliness,0,,skin fading lightener
11651,wrinkle,0,,facial cleanser
3828,redness,1,category:facial cleanser,facial cleanser
11908,age,0,,facial cleanser
12918,oiliness,0,,serums essences
9979,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
8319,oiliness,0,,serums essences
1237,acne,0,,serums essences
3877,redness,1,ingredient,facial moisturizer treatment
12528,redness,0,,facial moisturizer treatment
13839,oiliness,1,category:facial cleanser,facial cleanser
11215,moisture,0,,around eye cream
1848,moisture,1,ingredient,facial cleanser
9984,acne,0,,makeup remover
9625,eyebag,0,,facial cleanser
5665,wrinkle,0,,mask
16426,age,1,category:facial moisturizer treatment,facial moisturizer treatment
7782,redness,1,category:makeup remover,makeup remover
8055,acne,0,,serums essences
5025,moisture,1,ingredient,facial cleanser
7777,wrinkle,0,,facial cleanser
9301,acne,0,,around eye cream
10040,redness,1,ingredient,serums essences
7746,eyebag,0,,serums essences
13948,wrinkle,0,,mask
15707,redness,0,,serums essences
12990,redness,0,,mask
11758,wrinkle,0,,oil controller
1793,redness,0,,mask
4297,redness,0,,facial moisturizer treatment
9556,oiliness,1,category:facial cleanser|ingredient,facial cleanser
8102,redness,0,,facial moisturizer treatment
4005,wrinkle,1,category:around eye cream,around eye cream
12214,redness,0,,serums essences
11483,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
2102,moisture,1,ingredient,facial cleanser
9325,age,0,,around eye cream
5638,wrinkle,0,,facial cleanser
13055,oiliness,0,,around eye cream
15413,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
1595,acne,1,category:mask,mask
1838,redness,0,,serums essences
8104,eyebag,0,,serums essences
15003,eyebag,0,,facial cleanser
7357,eyebag,0,,mask
5624,wrinkle,1,category:around eye cream,around eye cream
15111,acne,1,category:facial cleanser,facial cleanser
8935,oiliness,0,,serums essences
2441,moisture,1,ingredient,around eye cream
16411,redness,0,,anti aging
9932,moisture,1,ingredient,facial cleanser
11293,moisture,1,category:makeup remover|ingredient,makeup remover
7679,oiliness,1,category:mask,mask
11243,wrinkle,0,,mask
10573,acne,0,,serums essences
15188,eyebag,0,,mask
9175,acne,1,category:mask,mask
10655,redness,0,,facial moisturizer treatment
2462,oiliness,0,,around eye cream
2728,acne,0,,serums essences
9259,oiliness,0,,around eye cream
5067,moisture,1,category:makeup remover|ingredient,makeup remover
2273,eyebag,0,,facial moisturizer treatment
12921,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
2714,redness,0,,facial moisturizer treatment
2429,redness,0,,facial moisturizer treatment
14690,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
6565,moisture,1,category:serums essences|ingredient,serums essences
11642,oiliness,1,category:toners astringents,toners astringents
15425,redness,0,,mask
4268,eyebag,0,,toners astringents
7347,redness,0,,facial moisturizer treatment
5470,acne,1,category:mask,mask
3407,acne,0,,serums essences
2542,moisture,1,category:mask|ingredient,mask
12659,oiliness,1,category:toners astringents,toners astringents
8316,eyebag,0,,serums essences
694,age,0,,facial cleanser
13065,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
4094,redness,1,category:facial cleanser,facial cleanser
7394,eyebag,0,,bb cream
6251,age,1,category:serums essences,serums essences
15925,moisture,1,ingredient,facial cleanser
12126,oiliness,1,category:mask,mask
13576,eyebag,1,category:around eye cream|ingredient,around eye cream
6303,wrinkle,1,category:serums essences,serums essences
5474,wrinkle,0,,mask
655,wrinkle,1,category:serums essences,serums essences
13405,age,1,category:facial moisturizer treatment,facial moisturizer treatment
1260,redness,1,category:facial cleanser,facial cleanser
5788,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
13745,moisture,1,category:mask|ingredient,mask
14189,age,1,category:serums essences,serums essences
3560,oiliness,0,,serums essences
14967,wrinkle,0,,mask
9478,redness,1,category:around eye cream|ingredient,around eye cream
3069,moisture,1,ingredient,around eye cream
6852,redness,0,,bb cream
5986,eyebag,0,,facial cleanser
11418,redness,1,category:facial cleanser,facial cleanser
12475,redness,1,category:toners astringents,toners astringents
13408,acne,1,category:mask,mask
12165,acne,0,,facial moisturizer treatment
16205,oiliness,1,category:facial cleanser,facial cleanser
436,age,0,,cc cream
6249,eyebag,0,,toners astringents
13204,age,1,category:serums essences,serums essences
5873,moisture,1,ingredient,facial cleanser
7674,moisture,1,ingredient,facial cleanser
8485,redness,0,,serums essences
8687,oiliness,0,,serums essences
15146,redness,1,category:facial cleanser,facial cleanser
15421,age,1,category:facial moisturizer treatment,facial moisturizer treatment
2738,wrinkle,1,category:around eye cream,around eye cream
13452,age,1,category:serums essences,serums essences
15850,redness,1,category:makeup remover,makeup remover
4687,redness,1,category:toners astringents,toners astringents
7612,age,1,category:facial moisturizer treatment,facial moisturizer treatment
4898,moisture,1,category:serums essences|ingredient,serums essences
12717,oiliness,1,category:mask,mask
8243,eyebag,0,,makeup remover
9758,eyebag,0,,facial cleanser
15391,moisture,1,category:serums essences|ingredient,serums essences
14303,age,0,,mask
8159,age,0,,oil controller
2965,age,0,,toners astringents
12784,redness,1,ingredient,mask
8905,age,0,,makeup remover
12367,acne,1,category:facial cleanser,facial cleanser
13501,eyebag,1,category:around eye cream,around eye cream
2980,age,1,category:facial moisturizer treatment,facial moisturizer treatment
14341,moisture,1,category:makeup remover|ingredient,makeup remover
1092,eyebag,0,,oil controller
7126,age,0,,mask
9661,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
9686,acne,0,,serums essences
3976,oiliness,1,category:facial cleanser,facial cleanser
3552,acne,1,category:toners astringents,toners astringents
15692,eyebag,0,,facial moisturizer treatment
10336,wrinkle,0,,facial cleanser
3927,age,0,,mask
8748,age,1,category:facial moisturizer treatment,facial moisturizer treatment
14719,acne,0,,cc cream
15503,eyebag,0,,facial cleanser
9785,oiliness,1,category:mask,mask
15036,moisture,1,category:serums essences|ingredient,serums essences
15675,wrinkle,1,category:around eye cream,around eye cream
14117,moisture,1,category:serums essences,serums essences
7938,wrinkle,0,,facial cleanser
5961,wrinkle,0,,facial cleanser
11858,acne,0,,facial moisturizer treatment
4996,redness,1,category:around eye cream|ingredient,around eye cream
2751,moisture,1,ingredient,toners astringents
3210,age,1,category:facial moisturizer treatment,facial moisturizer treatment
10301,acne,1,category:facial cleanser,facial cleanser
15982,redness,0,,mask
1613,moisture,0,,anti aging
992,acne,1,category:toners astringents,toners astringents
2965,redness,1,category:toners astringents,toners astringents
11012,age,1,category:serums essences,serums essences
1053,moisture,1,ingredient,facial cleanser
9794,redness,1,category:facial cleanser,facial cleanser
3326,acne,1,category:mask,mask
3937,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
11756,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
12500,eyebag,0,,serums essences
6892,oiliness,0,,around eye cream
12531,moisture,1,ingredient,around eye cream
7946,wrinkle,0,,facial cleanser
4379,redness,0,,facial moisturizer treatment
3165,eyebag,0,,facial cleanser
4136,age,0,,facial cleanser
9830,acne,1,category:facial cleanser,facial cleanser
2810,oiliness,1,category:facial cleanser,facial cleanser
4491,oiliness,1,category:facial cleanser,facial cleanser
14647,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
1085,wrinkle,0,,facial cleanser
14760,eyebag,0,,facial cleanser
13295,eyebag,0,,anti aging
4864,eyebag,0,,oil controller
4968,eyebag,0,,facial moisturizer treatment
7520,redness,0,,mask
1527,acne,0,,facial moisturizer treatment
3539,oiliness,1,category:mask,mask
10858,moisture,1,category:mask,mask
16217,acne,0,,around eye cream
16170,acne,1,category:mask,mask
7215,acne,1,category:facial cleanser,facial cleanser
275,moisture,1,category:mask,mask
6140,wrinkle,1,ingredient,facial cleanser
13993,oiliness,1,category:mask,mask
9019,age,0,,around eye cream
3651,moisture,0,,bb cream
7885,redness,1,category:makeup remover,makeup remover
3775,acne,0,,facial moisturizer treatment
9009,redness,1,category:facial cleanser|ingredient,facial cleanser
4118,acne,0,ingredient_negative,oil controller
13447,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
2747,redness,1,ingredient,serums essences
7100,eyebag,0,,makeup remover
2838,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
16148,acne,1,category:facial cleanser,facial cleanser
2039,eyebag,0,,facial moisturizer treatment
1642,age,0,,mask
5079,oiliness,0,,anti aging
3296,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
5259,redness,1,category:around eye cream|ingredient,around eye cream
5994,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
7159,eyebag,0,,mask
2998,wrinkle,1,category:anti aging,anti aging
14241,oiliness,1,category:facial cleanser,facial cleanser
1083,wrinkle,0,,facial cleanser
4488,eyebag,0,,mask
11247,acne,1,category:facial cleanser,facial cleanser
5223,oiliness,1,category:mask,mask
11324,age,1,category:serums essences,serums essences
3844,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
6194,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
2072,oiliness,1,category:toners astringents,toners astringents
10569,redness,1,category:facial cleanser,facial cleanser
4073,acne,0,,serums essences
2736,moisture,1,category:mask|ingredient,mask
9076,oiliness,1,category:facial cleanser,facial cleanser
14148,moisture,0,,toners astringents
1968,moisture,0,,toners astringents
13626,oiliness,0,,cc cream
626,eyebag,0,,facial cleanser
14107,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
9131,age,1,category:facial moisturizer treatment,facial moisturizer treatment
16242,oiliness,0,,around eye cream
6413,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
6862,redness,0,,serums essences
9810,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
5437,eyebag,0,,facial cleanser
1317,eyebag,0,,facial cleanser
9770,redness,1,category:makeup remover,makeup remover
5164,age,0,,around eye cream
10057,wrinkle,1,category:serums essences,serums essences
8712,moisture,1,category:serums essences|ingredient,serums essences
8653,moisture,1,category:serums essences|ingredient,serums essences
